x	ulp_err
-1000000	800261
-477226.55588158005	703061
-590822.81779151678	215734
-652190.1430666009	28624
-836436.01569626119	732973
819938.32842791651	-17994
-719562.58368331904	578671
171204.76194429357	-80626
441361.42615437857	-214351
916801.93658328021	-744890
679367.95024930022	-14909
-942963.30197576049	41385
575583.45843946235	-442323
-53127.030342764338	45707
-531600.03948525921	23331
43519.391226782165	-35967
930361.18502090347	-429743
883377.73472980526	-744280
493727.19611562224	-341563
-282767.56701185781	129963
925195.44741938403	-799355
-675304.6828295883	305347
-635388.50029190071	27887
-59263.959617366636	31255
20387.5782236167	-895
73300.449503471915	-27051
-6812.3139765405849	300
42723.899972052946	-1875
-811630.07487096044	664721
640884.78994405351	-1822723
918848.45247697283	-40328
687199.02348202176	-462109
-749302.98441528494	32887
-811251.99620405945	17803
801764.34987503127	-8798
401715.39305102068	-2264805
443151.19726881891	-38899
932592.66009915737	-20466
222310.78840481522	-94792
613735.62097675086	-493298
730866.67465373687	-554578
-57546.103967328396	317
817373.21893925685	-2308729
292825.50420879526	-104733
974774.66470269021	-85564
-337486.9730818909	14813
618114.47532368451	-891441
742832.75374621688	-8353384
920288.80674931244	-2601468
613235.7026087367	-3451091
-162438.80753640505	132503
449012.95205611392	-170111
-258638.19598145521	198708
-911524.91422199062	80014
-745065.68829426041	453797
-793629.04001688538	2249978
-610753.22276501695	345452
-290144.65389464982	220247
134002.65015786549	-72792
-787636.86255143152	69139
-63608.854601682971	41873
2400.4311088965392	-1800
224588.21197284063	-195646
-576682.88930092147	487723
-323186.05946537439	193399
-133069.82558482551	5839
51503.90710492769	-27987
795087.52273063443	-467470
697548.7386265595	-530072
756538.3044781551	-66408
585773.31433208159	-25709
938284.03669177555	-708116
111734.11768308816	-165793
-818359.91505266319	1179878
-349179.76688872877	199680
354514.08270150964	-260140
268879.38489993778	-763739
-858283.00169973285	2440948
102147.69680287405	-8967
638344.61466360919	-56035
-398413.07862416154	194903
293336.77219836554	-3296807
-178782.08538125074	140339
445956.54053556122	-39145
-28013.098425001437	12545
-528750.29828503716	23207
165404.1066810179	-107782
-467219.69531982287	407780
57673.120272541564	-85753
-477125.00779494015	41881
108423.61202341922	-58937
295704.73096207861	-111336
-765696.41314566985	290515
-129229.40713518705	5808198
-997544.16266963107	470805
115412.92099470391	-171114
14389.994744560487	-315
-742866.41095038131	314473
497173.98719074682	-43643
-645625.43925402639	921165
-94415.027263749289	61152
26921.101878857768	-9626
235158.0008676748	-189389
